Time,Device_ID,Type,Mine_N,Mine_E,Altitude,Status
01/09/2023 20:00,001,LANDMOS,706.607,-5172.024,476.967,0
31/08/2023 15:00,001,LANDMOS,706.635,-5172.020,476.976,0
31/08/2023 15:00,006,LANDMOS,5485.034,-5178.879,487.375,0
31/08/2023 15:00,002,LANDMOS,5275.345,-5424.411,484.873,0
31/08/2023 15:00,005,LANDMOS,5054.179,-5250.492,474.144,0
31/08/2023 15:00,008,LANDMOS,3347.202,-951.332,214.118,4
31/08/2023 15:00,003,LANDMOS,1611.317,-5261.436,464.959,0
31/08/2023 15:00,004,LANDMOS,1225.305,-5030.789,444.573,0
31/08/2023 15:00,007,LANDMOS,4830.295,-5535.115,483.471,0
31/08/2023 15:00,009,LANDMOS,244.678,1101.572,362.426,0
31/08/2023 15:00,010,LANDMOS,4902.384,-4674.543,438.495,3
01/09/2023 20:00,002,LANDMOS,5275.369,-5424.402,484.861,0
31/08/2023 15:15,001,LANDMOS,706.635,-5172.020,476.982,0
31/08/2023 15:15,007,LANDMOS,4830.294,-5535.118,483.457,0
31/08/2023 15:15,004,LANDMOS,1225.300,-5030.798,444.602,0
31/08/2023 15:15,002,LANDMOS,5275.351,-5424.418,484.854,0
31/08/2023 15:15,006,LANDMOS,5485.037,-5178.875,487.356,0
31/08/2023 15:15,008,LANDMOS,3346.426,-951.380,216.137,4
31/08/2023 15:15,005,LANDMOS,5054.177,-5250.494,474.143,0
31/08/2023 15:15,003,LANDMOS,1611.316,-5261.429,464.956,0
31/08/2023 15:15,009,LANDMOS,244.674,1101.574,362.424,0
31/08/2023 15:15,010,LANDMOS,4902.385,-4674.530,438.464,3
01/09/2023 20:00,003,LANDMOS,1611.304,-5261.448,464.912,0
31/08/2023 15:30,001,LANDMOS,706.632,-5172.020,476.958,0
31/08/2023 15:30,003,LANDMOS,1611.314,-5261.425,464.961,0
31/08/2023 15:30,002,LANDMOS,5275.352,-5424.415,484.867,0
31/08/2023 15:30,007,LANDMOS,4830.303,-5535.118,483.447,0
31/08/2023 15:30,005,LANDMOS,5054.181,-5250.488,474.165,0
31/08/2023 15:30,004,LANDMOS,1225.296,-5030.795,444.615,0
31/08/2023 15:30,008,LANDMOS,3346.811,-951.492,212.225,4
31/08/2023 15:30,006,LANDMOS,5485.048,-5178.871,487.351,0
31/08/2023 15:30,010,LANDMOS,4902.392,-4674.530,438.477,3
31/08/2023 15:30,009,LANDMOS,244.668,1101.575,362.428,0
01/09/2023 20:00,004,LANDMOS,1225.282,-5030.795,444.558,0
31/08/2023 15:45,002,LANDMOS,5275.360,-5424.436,484.863,0
31/08/2023 15:45,009,LANDMOS,244.667,1101.569,362.427,0
31/08/2023 15:45,005,LANDMOS,5054.178,-5250.505,474.146,0
31/08/2023 15:45,004,LANDMOS,1225.303,-5030.795,444.582,0
31/08/2023 15:45,003,LANDMOS,1611.304,-5261.436,464.969,0
31/08/2023 15:45,001,LANDMOS,706.632,-5172.015,476.963,0
31/08/2023 15:45,010,LANDMOS,4902.397,-4674.552,438.462,3
31/08/2023 15:45,008,LANDMOS,3347.382,-951.621,211.876,4
31/08/2023 15:45,006,LANDMOS,5485.054,-5178.894,487.343,0
31/08/2023 15:45,007,LANDMOS,4830.307,-5535.136,483.441,0
01/09/2023 20:00,005,LANDMOS,5054.190,-5250.494,474.107,0
31/08/2023 16:00,001,LANDMOS,706.628,-5172.013,476.972,0
31/08/2023 16:00,008,LANDMOS,3348.147,-951.448,211.132,4
31/08/2023 16:00,005,LANDMOS,5054.179,-5250.508,474.133,0
31/08/2023 16:00,002,LANDMOS,5275.359,-5424.433,484.840,0
31/08/2023 16:00,004,LANDMOS,1225.307,-5030.794,444.561,0
31/08/2023 16:00,009,LANDMOS,244.670,1101.570,362.432,0
31/08/2023 16:00,003,LANDMOS,1611.308,-5261.426,464.972,0
31/08/2023 16:00,006,LANDMOS,5485.054,-5178.898,487.322,0
31/08/2023 16:00,007,LANDMOS,4830.306,-5535.131,483.431,0
